Id,ItemName,UnitOfMeasurement,Quantity,WarehouseName,AddressingName
00657,ANEL AGRALE 809446001,12,1,604,Vazio
00796,TERMINAL JACTO 1146100,12,7,604,1
00797,PARAFUSO JACTO 630814,12,2,604,1
00798,CONEXAO JACTO 511709,12,3,604,1
00799,ELEMENTO JACTO 012492,12,2,604,1
00800,ABRACADEIRA JACTO 800664,12,4,604,52
00806,ELO JACTO 326447,12,4,604,1
00809,ABRACADEIRA JACTO 869883,12,11,604,1
00811,TAMPA JACTO 333120,12,8,604,6217
00813,BASE JACTO 626572,12,1,604,1
00817,TE JACTO 213058,12,2,604,1
00820,CONECTOR JACTO 332973,12,2,604,1
00822,ASSENTO JACTO 110593,12,2,604,1
00824,BUCHA JACTO 104448,12,2,604,6213
00826,ALOJAMENTO JACTO 621003,12,1,604,1
00833,NUCLEO JACTO 420679,12,2,604,1
00834,VEDACAO JACTO 341016,12,13,604,1
00835,ENCOSTO JACTO 243824,12,6,604,1
00838,MOLA JACTO 502732,12,15,604,1
00840,VEDACAO JACTO 620997,12,3,604,1
00842,SUPORTE JACTO 450338,12,3,604,1
00851,PORCA JACTO 455311,12,1,604,1
00859,CINTA JACTO 615211,12,1,604,1
00861,ABRACADEIRA JACTO 106229,12,5,604,6210
00862,TAMPA JACTO 900761,12,1,604,Vazio
00863,VEDACAO JACTO 414748,12,20,604,1
00864,VALVULA JACTO 5942,12,1,604,1
00865,SENSOR JACTO 375337,12,3,604,1
00872,PRESILHA JACTO 500736,12,2,604,52
00874,ENCOSTO JACTO 946079,12,5,604,52
00876,EIXO JACTO 338715,12,2,604,1
00877,NIPLE JACTO 455295,12,14,604,1
00881,CORPO JACTO 645127,12,6,604,1
00882,FILTRO SUCCAO JACTO 455394,12,1,604,1
01196,CUBO JUMIL 2731535,12,8,604,CONTAINER-02
01213,CUBO JUMIL 2729686,12,22,604,CONTAINER-01
01225,COXIM RAVEL 2382,12,1,604,Vazio
01277,CONECTOR JACTO 455410,12,1,604,52
01287,EIXO JUMIL 2728514,12,47,604,CONTAINER-02
01290,SUPORTE JUMIL 2731471,12,1,604,CONTAINER-02
01296,SUPORTE JUMIL 2735986,12,4,604,CONTAINER-01
01304,ENGATE JUMIL 2728305,12,8,604,CONTAINER-02
01369,TAMPA DO DEPOSITO PL,12,3,604,158
01602,PARAFUSO SEXTAVADO 16X170MM MA RP 8.8,12,13,604,MEZANINO-I-021
01621,SUPORTE JUMIL 2726113,12,1,604,CONTAINER-01
01623,SUPORTE JUMIL 2731475,12,2,604,CONTAINER-02
01678,PARAFUSO SEXTAVADO 16X80MM MB RP 8.8,12,11,604,MEZANINO-019-G
01963,CUBO MARCHESAN 010700,12,2,604,137
01964,PONTA MARCHESAN 0501016293,12,1,604,137
01968,CUBO JUMIL 2729713,12,15,604,CONTAINER-01
01975,CALOTA MARCHESAN CUBO 020162,12,2,604,137
02126,SEPARADOR MARCHESAN 020068,12,1,604,333
02127,SEPARADOR DISCO TATU,12,4,604,333
02134,PINO JACTO 425256,12,4,604,1
02384,TAMPA JACTO 911966,12,1,604,093-A-002
02478,HELICE FERRO 8 PA,12,1,604,3968
02859,CINTA JACTO 615260,12,1,604,1
02964,SUPORTE JACTO 841023,12,3,604,1
03051,PARAFUSO SEXTAVADO 20X150MM MA RP 8.8,12,7,604,7881
03162,EIXO MARCHESAN 0521013610,12,49,604,137
