Id,ItemName,UnitOfMeasurement,Quantity,WarehouseName,AddressingName
00137,FILTRO AR JD AH115836,12,7.0000,18,18.02.C3
00999,FILTRO LUBRIFICANTE MANN W962,12,6.0000,18,18.02.B4
01000,FILTRO AR MANN C20500,12,1.0000,18,18.02.B5
01003,FILTRO LUBRIFICANTE MANN W11102/4,12,6.0000,18,18.02.B4
01008,FILTRO AR MANN C19171,12,1.0000,18,18.02.C1
01009,FILTRO AR MANN CF700,12,5.0000,18,18.03.C4
01010,FILTRO AR MANN CF800,12,2.0000,18,18.02.B2
01014,FILTRO COMBUSTIVEL METAL LEVE KL582,12,4.0000,18,18.01.B2
01016,FILTRO AR MANN C23610,12,4.0000,18,18.02.B5
01018,FILTRO COMBUSTIVEL MANN P917X,12,1.0000,18,18.03.B4
01019,FILTRO LUBRIFICANTE MANN W934,12,6.0000,18,18.03.B4
01020,FILTRO AR MANN C27830,12,1.0000,18,18.02.A1
01021,FILTRO COMBUSTIVEL MANN WK842,12,5.0000,18,18.02.A3
01022,FILTRO AR MANN C20325/2,12,2.0000,18,18.02.C5
01023,FILTRO LUBRIFICANTE MANN W950/8,12,1.0000,18,18.02.B2
01024,FILTRO COMBUSTIVEL MANN WK723,12,27.0000,18,18.02.A4
01025,FILTRO COMBUSTIVEL MANN WK1040,12,6.0000,18,18.03.A3
01027,FILTRO LUBRIFICANTE MANN H947/1,12,4.0000,18,18.02.B3
01029,FILTRO AR MANN C17225/3,12,2.0000,18,18.02.C5
01030,FILTRO COMBUSTIVEL MANN BFU707,12,2.0000,18,18.02.A1
01031,FILTRO COMBUSTIVEL MANN P945X,12,15.0000,18,18.03.A3
01032,FILTRO LUBRIFICANTE MANN W1170,12,4.0000,18,18.02.B4
01034,FILTRO LUBRIFICANTE MANN H12111,12,2.0000,18,18.03.A1
01037,FILTRO AR MANN CF600/1,12,4.0000,18,18.03.C4
01040,FILTRO AR MANN CF1000,12,2.0000,18,18.02.A2
01043,FILTRO COMBUSTIVEL FLEETGUARD FS1000,12,3.0000,18,18.03.B4
01045,FILTRO LUBRIFICANTE DELPHI EFH101,12,7.0000,18,18.02.B4
01047,FILTRO COMBUSTIVEL RACOR R26A50,12,11.0000,18,18.02.A4
01050,FILTRO LUBRIFICANTE FLEETGUARD LF3000,12,10.0000,18,18.02.A1
01061,FILTRO COMBUSTIVEL RACOR R60-10M,12,4.0000,18,18.03.A2
01063,FILTRO COMBUSTIVEL FLEETGUARD FS1212,12,2.0000,18,18.03.B4
01066,FILTRO COMBUSTIVEL MANN WK731,12,3.0000,18,18.02.A3
01071,FILTRO HIDRAULICO HYSTER 1337159,12,3.0000,18,18.03.C5
01072,FILTRO HIDRAULICO JD AH128449,12,30.0000,18,18.01.A2
01074,FILTRO HIDRAULICO TECFIL PSH012,12,4.0000,18,18.02.A1
01075,FILTRO AR JD DQ46907,12,7.0000,18,18.04.D2
01078,FILTRO LUBRIFICANTE HYSTER 324692,12,5.0000,18,18.02.C2
01080,FILTRO AR MANN C24650/1,12,2.0000,18,18.02.A5
01328,FILTRO AR JD DQ46908,12,7.0000,18,18.02.C5
01329,FILTRO COMBUSTIVEL JD RE62419,12,18.0000,18,18.03.A3
01349,FILTRO SUCCAO STARA 1527-4101,12,17.0000,18,18.03.A4
01350,FILTRO COMBUSTIVEL JD DQ24057,12,21.0000,18,18.01.B3
01355,FILTRO HIDRAULICO JD RE45864,12,4.0000,18,18.02.B2
02249,OLEO TRANS TEXAMATIC B 1LT,6,45.0000,18,18.01.A1
02368,FILTRO AR JD AH164062,12,12.0000,18,18.04.D1
02369,FILTRO AR JD AH164063,12,12.0000,18,18.04.D1
02371,FILTRO COMBUSTIVEL JD RE500186,12,25.0000,18,18.03.A4
02372,FILTRO COMBUSTIVEL JD AR86745,12,36.0000,18,18.02.A4
02490,FILTRO AR JD AH115833,12,10.0000,18,18.04.B3
02496,FILTRO TRANSMISSAO JD RE205726,12,15.0000,18,18.02.A5
02550,FILTRO AR MANN C17308,12,2.0000,18,18.01.C3
02601,FILTRO HIDRAULICO CASE 1329214C1,15,3.0000,18,18.02.B5
02921,FILTRO AR CASE 247752A1,12,2.0000,18,18.02.A1
03116,FILTRO AR CASE 86998333,12,5.0000,18,18.04.C1
03184,FILTRO COMBUSTIVEL CAT 1634465,12,1.0000,18,18.03.A2
03260,FILTRO LUBRIFICANTE JD RE504836,12,5.0000,18,18.01.A3
03263,FILTRO HIDRAULICO MANN H1291/1,12,5.0000,18,18.02.A4
03624,FILTRO AR MANN CF300/1,12,1.0000,18,18.03.B1
03667,FILTRO LUBRIFICANTE MANNW950/18,12,2.0000,18,18.03.B1
03915,FILTRO AR CASE 90-8300T1,12,2.0000,18,18.03.A5
04031,FILTRO AR MANN C15300,12,2.0000,18,18.03.A5
04094,FILTRO COMBUSTIVEL JD CQ29104,12,9.0000,18,18.02.B1
04843,FILTRO LUBRIFICANTE MANN H820/3,12,1.0000,18,18.02.A3
05254,FILTRO LUBRIFICANTE FLLETGUARD LF3345,12,2.0000,18,18.03.B4
05875,FILTRO HIDRAULICO CASE N14232,12,3.0000,18,18.02.A2
05899,FILTRO COMBUSTIVEL JD RE62418,12,6.0000,18,18.03.A4
05901,FILTRO COMBUSTIVEL JD RE522878,12,21.0000,18,18.02.A5
05903,FILTRO HIDRAULICO JD AN203010,12,20.0000,18,18.02.B1
06050,FILTRO HIDRAULICO JD DQ21803,12,2.0000,18,18.02.B3
06053,FILTRO AR CASE 294293A1,12,10.0000,18,18.02.C5
08125,FILTRO LUBRIFICANTE JD T19044,12,3.0000,18,18.02.B3
08161,FILTRO COMBUSTIVEL TOYOTA 2330030450,12,2.0000,18,Vazio
08552,ELEMENTO SINTERIZADO DE BRONZE DIESEL,12,1.0000,18,18.03.A2
08575,FILTRO AR JD RE199682,12,6.0000,18,18.04.A2
08675,FILTRO AR CASE 87440031,12,8.0000,18,18.04.B1
09986,FILTRO HIDRAULICO MF 034391T1,12,2.0000,18,18.03.B1
100100,FILTRO TRANSMISSAO VOLVO 24283117,12,3.0000,18,Vazio
100193,COADOR JD PMLST280SS,12,13.0000,18,18.04.A2
100643,FILTRO COMBUSTIVEL NH 84283691,12,4.0000,18,18.04.C2
100644,FILTRO COMBUSTIVEL NH 5801439820,12,4.0000,18,18.04.C2
100645,FILTRO LUBRIFICANTE NH 84565867,12,4.0000,18,18.04.C2
101138,FILTRO AR FIAT 51842923,12,1.0000,18,Vazio
10211,FILTRO TRANSMISSAO AGRALE 8009104397008,12,2.0000,18,18.02.B4
10457,FILTRO AR CONDICIONADO FIAT 7082928,12,3.0000,18,18.02.C2
10458,FILTRO AR MANN C2585,12,6.0000,18,18.02.B3
11430,FILTRO AR JD DQ59010,12,7.0000,18,18.03.C1
11870,FILTRO AR CHEVROLET 93321112,12,6.0000,18,18.03.B3
12043,FILTRO AR JD RE199681,12,12.0000,18,18.02.A5
12132,FILTRO SECADOR JD AN204967,14,8.0000,18,18.04.A2
12352,FILTRO LUBRIFICANTE MANN WP928/80,12,3.0000,18,18.02.B1
14760,OLEO LUBRIFICANTE 5W30 - SL 94701273,6,1.0000,18,18.01.A2
14953,FILTRO COMBUSTIVEL CASE 84214564,12,6.0000,18,18.03.A3
15389,FILTRO HIDRAULICO TURBO FILTRO UH11009P,12,2.0000,18,18.01.C2
15834,FILTRO AR JD DQ59009,12,2.0000,18,18.02.A4
16767,FILTRO AR JD AL172780,12,9.0000,18,18.02.C1
16768,FILTRO AR JD AL150288,12,12.0000,18,18.03.B5
17283,FILTRO COMBUSTVEL FORD BG1X9155AA,12,2.0000,18,18.03.B3
17284,FILTRO AR FORD BG9X9601CA,12,1.0000,18,18.01.C3
17581,FILTRO COMBUSTIVEL MANN WK58,12,9.0000,18,18.04.C2
17833,FILTRO LUBRIFICANTE TECFIL PSL282,12,2.0000,18,18.02.B3
18205,FILTRO COMBUSTIVEL CASE 84171722,12,8.0000,18,18.03.A2
18289,FILTRO AR MANN C2496,12,4.0000,18,18.03.C2
18372,OLEO AMACIAMENTO JD BREAK-IN,6,4.0000,18,18.01.A1
18402,FILTRO COMBUSTIVEL HUSQVARNA 531029502,12,3.0000,18,18.03.C3
18576,FILTRO COMBUSTIVEL JD RE525523,12,30.0000,18,18.04.A1
18578,FILTRO LUBRIFICANTE JD RE509672,12,12.0000,18,18.02.B1
18884,FILTRO AR JD AH222225,12,10.0000,18,18.04.C3
18885,FILTRO AR JD AH212295,12,5.0000,18,18.04.B3
18939,FLUIDO FREIO LHM CASE 1060086091,6,6.0000,18,18.03.B2
19364,FILTRO COMBUSTIVEL SCANIA 1763776,12,5.0000,18,18.03.A3
19365,FILTRO COMBUSTIVEL SCANIA 1518512,12,17.0000,18,18.02.B3
19844,FILTRO SUCCAO JACTO 525832,12,6.0000,18,18.03.B1
20244,FILTRO COMBUSTIVEL JD RE522878,12,8.0000,18,18.03.A3
20245,FILTRO HIDRAULICO JD RE273801,12,7.0000,18,18.03.A2
20536,FILTRO AR JD RE181915,12,11.0000,18,18.04.A2
20537,FILTRO AR JD RE196945,12,8.0000,18,18.01.C1
