Id,ItemName,UnitOfMeasurement,Quantity,WarehouseName,AddressingName,
00518,CALCO JD R49003,12,1,2,MEZANINO-H-049,
00559,ROLAMENTO ESFERA FAG 6004,12,2,2,MEZANINO-N-022,
00629,PARAFUSO FRANCES 20X160MM MA RP 8.8,12,18,2,MEZANINO-C-019,
00771,LUVA MF 1686443M1,12,1,2,MEZANINO-F-010,
01523,PARAFUSO SEXTAVADO 6X10MM MA RI 8.8,12,33,2,MEZANINO-B-019,
01632,"PARAFUSO SEXTAVADO 3/4""X3.1/2"" MA RP 8.8",12,1,2,MEZANINO-M-019,
01647,"PARAFUSO SEXTAVADO 7/8""X4"" MA RP 8.8",12,1,2,MEZANINO-O-019,
01715,"PARAFUSO FRANCES 5/8""X3"" MA RP 8.8",12,8,2,MEZANINO-I-019,
01727,PARAFUSO FRANCES 10X35MM MA RI 8.8,12,27,2,MEZANINO-M-019,
01822,"PORCA SEXTAVADO 5/8"" MB",12,1,2,MEZANINO-V-018,
01822,"PORCA SEXTAVADO 5/8"" MB",12,2,2,MEZANINO-K-018,
01824,"PORCA GRADE 1.1/2"" MA",12,4,2,MEZANINO-H-018,
01835,"ARRUELA PRESSAO 1/2""",12,51,2,MEZANINO-N-018,
02097,SEM SOJA M-SOY 8866 - TERCEIROS PIMS,3,5,2,MEZANINO-H-018,
02119,ELETRODO OK 4600 3.25MM 6013 ESAB 0300076,3,37.896,2,MEZANINO-C-003,
02201,LIXA FERRO 225 X 275MM GR 100 3M HC000602025,12,3,2,MEZANINO-K-002,
02518,PREGO C/ CABECA 15X21,3,15,2,MEZANINO-G-060,
02535,BOCAL TOYAMA 0112662,12,2,2,MEZANINO-W-030,
02704,"BICO GRAXEIRO 5/16"" RETO",12,4,2,MEZANINO-A-029,
02730,"CONDULETE ALUMINIO TIPO LL 3/4"" C/ ROSCA TRAMONTINA 56104/302",12,2,2,MEZANINO-I-027,
02736,"ABRACADEIRA 3"" X 3.3/4"" - 76 X 95MM SUPRENS 7695",12,2,2,MEZANINO-Q-002,
03141,PLACA 1 POSTO 4404,12,1,2,MEZANINO-K-025,
03267,RETENTOR JD L110233,12,2,2,MEZANINO-Z2-017,
03360,"PORCA TRAVANTE 1""MA""",12,1,2,MEZANINO-K-018,
03366,PORCA TRAVANTE 10MM MB,12,1,2,MEZANINO-X-022,
03546,DISJUNTOR BIPOLAR 25A SHB-H SOPRANO 05121102521,12,3,2,MEZANINO-A-037,
03642,ROLAMENTO ROLETE GBE 32011,12,1,2,MEZANINO-O-023,
04049,"LUVA PVC SOLDAVEL BUCHA LATAO 25MMX1/2"" TIGRE 35267824",12,1,2,MEZANINO-U-028,
04144,CONEXAO GATES G25500 08008,12,5,2,MEZANINO-B-031,
04689,"TERMINAL MANGUEIRA 9/16"" GATES G25120-0606",12,5,2,MEZANINO-T-031,
04971,"ADAPTADOR PVC CONDULETE TOP 3/4"" TIGRE 36005297",12,7,2,MEZANINO-D-062,
05029,FIXADOR PORTA VONDER 3263500000,12,1,2,MEZANINO-O-030,
05174,"CAPA MANGUEIRA GS 3/8"" 03310-06",12,12,2,MEZANINO-K-031,
05211,PORCA MB 3453563126,12,2,2,MEZANINO-E-009,
05595,CLIP ALUMINIO 10MM SOAR 90900216,12,13,2,MEZANINO-Z13-031,
05766,PRISIONEIRO 8X60MM,12,33,2,MEZANINO-Z4-031,
05830,PARAFUSO SEXTAVADO 6X40MM MA RP 8.8,12,3,2,MEZANINO-F-019,
05846,PARAFUSO SEXTAVADO 12X20MM MA RI 8.8,12,57,2,MEZANINO-F-019,
05905,PARAFUSO SEXTAVADO 10X70MM MA RI 8.8,12,10,2,MEZANINO-S-020,
05905,PARAFUSO SEXTAVADO 10X70MM MA RI 8.8,12,5,2,MEZANINO-B-019,
05932,"PARAFUSO SEXTAVADO 3/4""X7"" MA RP 8.8",12,4,2,MEZANINO-O-020,
06007,ELETRODO OK 4600 2.50MM 6013 ESAB 0300593,3,222.98,2,MEZANINO-B-003,
06008,ELETRODO OK 4804 3.25MM 7018 ESAB 0305901,3,46.96,2,MEZANINO-C-003,
06177,ROLAMENTO CASE 611582R1,12,1,2,MEZANINO-L-024,
06361,ANEL JD R26976,12,220,2,MEZANINO-K-015,
06428,PORCA SEXTAVADO 20MM MA,12,22,2,MEZANINO-A-018,
06471,RETENTOR 60.00 X 90.00 X 10.00 ARCA 5346,12,12,2,MEZANINO-F-017,
06925,PARAFUSO JD H168924,12,2,2,MEZANINO-T-006,
07007,GUARDANAPO PAPEL KITCHEN 22.70X22.80CM 50UN,17,77,2,MEZANINO-C-035,
07154,"PARAFUSO SEXTAVADO 5/8""X2"" MA RI 8.8",12,92,2,MEZANINO-R-020,
07163,ARRUELA PRESSAO 8MM,12,55,2,MEZANINO-P-018,
07501,SEM TREVO ALEXANDRINO - IMPORTADO,3,0,2,MEZANINO-B-010,
07581,"ABRACADEIRA 2"" X 2.1/2"" - 51 X 64MM SUPRENS 5164",12,1,2,MEZANINO-Q-002,
07867,ARRUELA LISA 14MM P7MM,12,16,2,MEZANINO-M-018,
08069,ARAME RECOZIDO Nº18,3,12,2,MEZANINO-G-031,
09119,FUSIVEL LAMINA MEDIO 25A AMS 16025,12,100,2,MEZANINO-G-012,
09277,COMPRESSOR JD AH169875,12,2,2,MEZANINO-A-049,
09628,COLA VULK 685GR VIPAL 475006,19,3,2,MEZANINO-J-003,
09727,TERMINAL MANG HIDR FDLX 08-16 08-16BI M24X1.5,12,28,2,MEZANINO-H-004,
09738,PASTA CATALOGO EXECUTIVA PRETA 50FLS DAC 1090A4,12,14,2,MEZANINO-U-004,
09832,REGISTRO PVC ESFERA VS SOLDAVEL 25MM TIGRE 27958028,12,5,2,MEZANINO-D-028,
10181,RODA MARCHESAN 0501052908,12,1,2,MEZANINO-P-043,
10553,FITA ISOLANTE S/ COLA 18X30MT LEIPLAST 33020,12,1,2,MEZANINO-D-002,
10843,ESCOVA ACO C/ CABO MADEIRA 4 FILEIRA VONDER 3599535600,12,2,2,MEZANINO-E-055,
11080,ESCOVA LAVAR MADEIRA MULTIUSO CONDOR 16,12,4,2,MEZANINO-Q-035,
12116,CHAVE COMBINADA 21MM 1B GEDORE 002516,12,1,2,MEZANINO-G-055,
12199,"CHAVE ""L"" TORX 43TX-T25 GEDORE 024607",12,1,2,MEZANINO-K-053,
13291,"PINCEL PINTURA 2.1/2"" ATLAS 395/6",12,14,2,MEZANINO-H-030,
13359,"ADAPTADOR PVC ROSCAVEL SOLDAVEL 40MMX1.1/2"" TIGRE 22007939",12,2,2,MEZANINO-F-029,
13361,TE PVC SOLDAVEL 25MM TIGRE 22200259,12,30,2,MEZANINO-O-028,
13370,SOQUETE PORCELANA E27 250V S/ RABICHO DECORLUX MT2213A,12,35,2,MEZANINO-V-026,
13689,COADOR PANO CAFE 130MM,0,4,2,MEZANINO-R-035,
