Id,ItemName,UnitOfMeasurement,Quantity,WarehouseName,AddressingName
04144,CONEXAO GATES G25500 08008,12,5,601,005-B-045
04689,"TERMINAL MANGUEIRA 9/16"" GATES G25120-0606",12,5,601,05-C-050
05174,"CAPA MANGUEIRA GS 3/8"" 03310-06",12,15,601,MEZANINO-031-K
05218,"TERMINAL MACHO FIXO NTPF RETO NTPF 1/2"" GATES G2510-0408",12,1,601,005-B-007
05266,"CAPA MANGUEIRA HIDRAULICA GS 3/4"" ACREL CP02-12",12,37,601,MEZANINO-Z4-031
05595,CLIP ALUMINIO 10MM SOAR 90900216,12,14,601,005-C-029
06720,NIPEL JUMIL 9206059,12,11,601,005-B-066
20173,UNIAO JUMIL 9206070,12,19,601,005-C-010
46127,CONEXAO HIDRAULICO WINNER 205113012TZF,12,6,601,MEZANINO-B-031
69797,FILTRO COMBUSTIVEL FENDT F530200062010,12,10,601,5084
69800,CARTUCHO FENDT ACP0153520,12,5,601,MEZANINO-038-F
69801,FILTRO UREIA FENDT ACP0338340,12,21,601,MEZANINO-038-A
70913,FILTRO LUBRIFICANTE FENDT ACP0154860,12,10,601,5084
70949,FILTRO AR AGCO 530200090080,12,1,601,003-A-003
73145,FILTRO RESPIRO FENDT ACP0225000,12,10,601,001-A-002
75764,SULCADOR FENDT 7044881M91,12,10,601,020-SUP
76617,RODA FENDT 90900260V,13,10,601,MEZANINO-036-M
76692,FILTRO HIDRAULICO FENDT H530101490200,12,12,601,001-A-002
76721,SENSOR FENDT ACX2503600,12,9,601,MEZANINO-036-B
77140,SENSOR FENDT ACW3625440,12,8,601,Vazio
79394,FILTRO AR FENDT F530200091010,12,1,601,001-A-006
81091,BUCHA FENDT ACW6187420,12,2,601,MEZANINO-038-A
81094,RETENTOR FENDT ACX2455360,12,50,601,MEZANINO-036-B
81095,ROLAMENTO FENDT 339583X1,12,30,601,MEZANINO-036-B
81116,ARO FENDT 7041286M1,12,14,601,Vazio
81117,EIXO FENDT 7041283M1,12,10,601,MEZANINO-036-O
81118,RODA FENDT 7041315M1,12,40,601,MEZANINO-038-N/O
82402,COTOVELO FENDT ACX2719210,12,5,601,MEZANINO-036-C
84187,ELEMENTO FILTRANTE FENDT F835100600031,12,10,601,002-A-003
84271,CORREIA FENDT 530200012100,12,5,601,MEZANINO-036-C
85201,EIXO FENDT ACW2422530,12,1,601,Vazio
85202,RETENTOR FENDT ACW2473200,12,2,601,MEZANINO-036-C
85203,ROLAMENTO FENDT 391339X1,12,2,601,MEZANINO-036-C
85234,BRACO SENSOR FENDT ACW8787670,12,5,601,MEZANINO-038-A
85640,TURBINA FENDT 7043045M91,12,1,601,Vazio
85714,BOCAL FENDT ACW2919440,12,5,601,MEZANINO-038-G
85718,CHICOTE FENDT 700745914,12,2,601,MEZANINO-036-M
85758,MOTOR FENDT ACW0814950,12,1,601,Vazio
86065,BOBINA FENDT ACW2921440,12,10,601,MEZANINO-036-D
86232,MOLA FENDT 05020027,12,5,601,MEZANINO-036-D
86581,CHICOTE FENDT ACW5478790,12,1,601,Vazio
86890,TRILHO FENDT 7041313M1,12,5,601,MEZANINO-036-D
87032,BUCHA FENDT ACW2312480,12,4,601,MEZANINO-038-A
87286,ELEMENTO FILTRO COMBUSTIVEL FENDT H218PF150001A,12,12,601,Vazio
91147,OLEO LUBRIFICANTE SUPER TRANS LS 80W-90 20LT FENDT ACP0668520,8,5,601,Vazio
92148,FILTRO OLEO MOTOR FENDT H218PF150002A,12,11,601,002-A-003
92149,PRE FILTRO COMBUSTIVEL FENDT H218PB1520990,12,9,601,Vazio
92150,ELEMENTO FILTRO AR PRIMARIO FENDT H218PF1525010,12,5,601,003-A-011
92151,ELEMENTO FILTRO AR SECUNDARIO FENDT H218PF1525020,12,5,601,002-A-005
92153,FILTRO ALTA PRESSAO EIXO DIANTEIRO FENDT H218PH0520190,12,5,601,03-A-002
93163,SUPORTE LONGO FENDT ACW0935550,12,2,601,Vazio
93895,LIMPADOR FENDT 12140021,12,40,601,MEZANINO-038-G
93898,LIMPADOR FENDT 12140020,12,40,601,Vazio
93903,ROLAMENTO FENDT 30204 95002527,12,30,601,Vazio
93904,RETENTOR FENDT 95005009,12,30,601,MEZANINO-038-G
94563,MODULO MF ACX3620720,12,1,601,069-B-001
95032,PLUGUE FENDT ACW5478760,12,10,601,MEZANINO-038-D
95033,KIT ACOPLADOR ACW0831810,12,2,601,Vazio
95034,ALTERNADOR FENDT ACW0814940,12,1,601,Vazio
95035,CONJUNTO CUBO FENDT 90900252V,12,10,601,Vazio
95036,CONJUNTO VARETA FENDT 7041288M91,12,10,601,Vazio
95037,CUBO RODA FENDT ACW2422520,12,1,601,Vazio
95038,PINO FENDT ACW2312530,12,2,601,Vazio
95039,FILTRO UREIA FENDT H218PF153008B,12,3,601,MEZANINO-038-A
95040,CORREIA FENDT H218PB1501160,12,5,601,Vazio
95041,CHICOTE FENDT ACW6782420,12,1,601,Vazio
95042,CHICOTE FENDT 7044064M91,12,1,601,Vazio
95043,CHICOTE FENDT ACW5478860,12,1,601,Vazio
95044,CHICOTE FENDT 700745908,12,2,601,Vazio
95045,MOTOR HIDRAULICO FENDT ACP0007310,12,1,601,MEZANINO-038-I
