ItemId,MovementeType,WarehouseName,Amount,MovementDate
69343,E,2,5,2023-07-15 08:45:00
40393,S,2,1,2023-07-15 08:45:00
6360,E,2,1,2023-07-15 08:45:00
82350,E,2,1,2023-07-15 08:45:00
41250,S,2,1,2023-07-15 08:45:00
34139,E,2,1,2023-07-15 08:45:00
34143,S,2,1,2023-07-15 08:45:00
65754,E,2,1,2023-07-15 08:45:00
69499,E,2,40,2022-12-13 08:58:00
95635,E,601,1,2022-12-13 08:10:00
44824,E,18,1,2022-12-13 08:57:00
12132,E,18,1,2022-12-13 08:21:00
95264,E,18,40,2022-12-13 08:39:00
85651,E,2,1,2022-12-13 08:53:00
80142,E,2,1,2022-12-13 08:53:00
80143,E,2,1,2022-12-13 08:53:00
85652,E,2,1,2022-12-13 08:53:00
95593,E,2,2,2022-12-13 08:16:00
78059,E,2,18000,2022-12-13 08:06:00
62434,E,2,1,2022-12-13 08:27:00
95908,E,2,1,2022-12-13 08:41:00
6992,E,2,172,2022-12-13 08:23:00
55256,E,2,206,2022-12-13 08:23:00
5564,E,2,2,2022-12-13 08:10:00
67638,E,2,8,2022-12-13 08:10:00
87120,E,2,2,2022-12-13 08:31:00
10367,E,2,3,2022-12-13 08:31:00
57265,E,2,3,2022-12-13 08:31:00
57452,E,2,3,2022-12-13 08:31:00
95006,E,2,1,2022-12-13 08:04:00
40023,E,2,7,2022-12-13 08:10:00
37182,E,2,35,2022-12-13 08:14:00
11732,E,2,15,2022-12-13 08:44:00
16671,E,2,500,2022-12-13 08:16:00
95902,E,2,1,2022-12-13 08:42:00
8080,E,2,9,2022-12-13 08:27:00
2508,E,2,8,2022-12-13 08:10:00
2411,E,2,174,2022-12-13 08:10:00
81391,E,2,6,2022-12-13 08:10:00
75487,E,2,140,2022-12-13 08:15:00
5491,E,2,1,2022-12-13 08:49:00
89264,E,2,3,2022-12-13 08:40:00
24709,E,2,4,2022-12-13 08:40:00
5059,E,2,1,2022-12-13 08:38:00
6154,E,2,1,2022-12-13 08:38:00
35648,E,2,2,2022-12-13 08:38:00
6115,E,2,40,2022-12-13 08:06:00
95688,E,2,10,2022-12-13 08:10:00
5113,E,2,20,2022-12-13 08:53:00
6766,E,2,1,2022-12-13 08:38:00
33563,E,2,1,2022-12-13 08:47:00
82515,E,2,1,2022-12-13 08:10:00
15873,E,2,1,2022-12-13 08:38:00
77697,E,2,1,2022-12-13 08:38:00
75524,E,2,1,2022-12-13 08:54:00
45139,E,2,1,2022-12-13 08:38:00
33566,E,2,1,2022-12-13 08:47:00
95899,E,2,1,2022-12-13 08:43:00
33653,E,2,1,2022-12-13 08:38:00
88027,E,2,1,2022-12-13 08:47:00
54813,E,2,2,2022-12-13 08:38:00
25858,E,2,2,2022-12-13 08:43:00
55673,E,2,2,2022-12-13 08:25:00
95869,E,2,2,2022-12-13 08:38:00
28998,E,2,2,2022-12-13 08:49:00
84526,E,2,3,2022-12-13 08:43:00
9367,E,2,4,2022-12-13 08:38:00
25862,E,2,11,2022-12-13 08:43:00
39786,E,2,43,2022-12-13 08:38:00
6645,E,2,50,2022-12-13 08:38:00
81348,E,2,54,2022-12-13 08:17:00
8968,E,2,1,2022-12-13 08:38:00
56209,E,2,4,2022-12-13 08:28:00
71826,E,2,5,2022-12-13 08:27:00
95922,E,2,1,2022-12-13 08:42:00
95986,E,2,1,2022-12-13 08:42:00
52407,E,2,1,2022-12-13 08:47:00
2932,E,2,1,2022-12-13 08:47:00
58354,E,2,4,2022-12-13 08:41:00
64224,E,2,46,2022-12-13 08:10:00
82577,E,2,60,2022-12-13 08:40:00
6951,E,2,1,2022-12-13 08:47:00
26501,E,2,1,2022-12-13 08:47:00
75856,E,2,2,2022-12-13 08:27:00
72021,E,2,2,2022-12-13 08:10:00
21939,E,2,2,2022-12-13 08:43:00
10580,E,2,3,2022-12-13 08:37:00
75857,E,2,3,2022-12-13 08:27:00
77661,E,2,4,2022-12-13 08:38:00
6655,E,2,4,2022-12-13 08:38:00
30051,E,2,4,2022-12-13 08:38:00
82463,E,2,6,2022-12-13 08:10:00
72368,E,2,11,2022-12-13 08:47:00
38453,E,2,12,2022-12-13 08:43:00
56521,E,2,15,2022-12-13 08:10:00
72985,E,2,16,2022-12-13 08:38:00
24898,E,2,19,2022-12-13 08:47:00
5914,E,2,40,2022-12-13 08:10:00
4362,E,2,200,2022-12-13 08:10:00
95966,E,2,250,2022-12-13 08:37:00
22415,E,2,5000,2022-12-13 08:10:00
48682,E,2,1,2022-12-13 08:38:00
20283,E,2,1,2022-12-13 08:10:00
48683,E,2,1,2022-12-13 08:38:00
515,E,2,1,2022-12-13 08:47:00
78049,E,2,1,2022-12-13 08:38:00
39920,E,2,1,2022-12-13 08:47:00
74437,E,2,1,2022-12-13 08:31:00
10013,E,2,2,2022-12-13 08:38:00
22162,E,2,2,2022-12-13 08:38:00
36434,E,2,2,2022-12-13 08:38:00
72556,E,2,1,2022-12-13 08:38:00
83986,E,2,224,2022-12-13 08:10:00
95289,E,2,1,2022-12-13 08:31:00
95887,E,2,2,2022-12-13 08:29:00
67238,E,2,1,2022-12-13 08:47:00
44189,E,2,1,2022-12-13 08:38:00
25296,E,2,1,2022-12-13 08:47:00
