CODEMP;CODPRO;DESPRO;CODDER;DATMOV;DESTNS;CODTNS;ESTEOS;QTDMOV
100;1072;FILTRO HIDRAULICO JD AH128449; ;17/07/2023;Entra por Transf. entre Dep./Prod.;90230;E;20
100;1350;FILTRO COMBUSTIVEL JD DQ24057; ;17/07/2023;Entra por Transf. entre Dep./Prod.;90230;E;20
100;1350;FILTRO COMBUSTIVEL JD DQ24057; ;17/07/2023;Saída por Transf. entre Dep./Produto;90260;S;-1
100;2490;FILTRO AR JD AH115833; ;17/07/2023;Entra por Transf. entre Dep./Prod.;90230;E;10
100;2496;FILTRO TRANSMISSAO JD RE205726; ;17/07/2023;Saída por Transf. entre Dep./Produto;90260;S;-1
100;3260;FILTRO LUBRIFICANTE JD RE504836; ;17/07/2023;Saída por Transf. entre Dep./Produto;90260;S;-1
100;3260;FILTRO LUBRIFICANTE JD RE504836; ;17/07/2023;Saída por Transf. entre Dep./Produto;90260;S;-1
100;5899;FILTRO COMBUSTIVEL JD RE62418; ;17/07/2023;Saída por Transf. entre Dep./Produto;90260;S;-1
100;5901;FILTRO COMBUSTIVEL JD RE522878; ;17/07/2023;Saída por Transf. entre Dep./Produto;90260;S;-1
100;5901;FILTRO COMBUSTIVEL JD RE522878; ;17/07/2023;Saída por Transf. entre Dep./Produto;90260;S;-1
100;8161;FILTRO COMBUSTIVEL TOYOTA 2330030450; ;17/07/2023;Entra por Transf. entre Dep./Prod.;90230;E;2
100;101138;FILTRO AR FIAT 51842923; ;17/07/2023;Entra por Transf. entre Dep./Prod.;90230;E;1
100;12132;FILTRO SECADOR JD AN204967; ;17/07/2023;Entra por Transf. entre Dep./Prod.;90230;E;5
100;16767;FILTRO AR JD AL172780; ;17/07/2023;Saída por Transf. entre Dep./Produto;90260;S;-1
100;16768;FILTRO AR JD AL150288; ;17/07/2023;Entra por Transf. entre Dep./Prod.;90230;E;10
100;16768;FILTRO AR JD AL150288; ;17/07/2023;Saída por Transf. entre Dep./Produto;90260;S;-1
100;18576;FILTRO COMBUSTIVEL JD RE525523; ;17/07/2023;Entra por Transf. entre Dep./Prod.;90230;E;21
100;18578;FILTRO LUBRIFICANTE JD RE509672; ;17/07/2023;Entra por Transf. entre Dep./Prod.;90230;E;7
100;18884;FILTRO AR JD AH222225; ;17/07/2023;Entra por Transf. entre Dep./Prod.;90230;E;8
100;20245;FILTRO HIDRAULICO JD RE273801; ;17/07/2023;Saída por Transf. entre Dep./Produto;90260;S;-1
100;20536;FILTRO AR JD RE181915; ;17/07/2023;Entra por Transf. entre Dep./Prod.;90230;E;8
100;24053;FILTRO AR CONDICIONADO JD RE187966; ;17/07/2023;Saída por Transf. entre Dep./Produto;90260;S;-1
100;31674;FILTRO AR JD AH239996; ;17/07/2023;Entra por Transf. entre Dep./Prod.;90230;E;9
100;40190;FILTRO COMBUSTIVEL JD RE522868; ;17/07/2023;Entra por Transf. entre Dep./Prod.;90230;E;7
100;40809;FILTRO TRANSMISSAO JD RE573817; ;17/07/2023;Entra por Transf. entre Dep./Prod.;90230;E;1
100;52945;FILTRO COMBUSTIVEL JD RE541922; ;17/07/2023;Saída por Transf. entre Dep./Produto;90260;S;-1
100;52945;FILTRO COMBUSTIVEL JD RE541922; ;17/07/2023;Saída por Transf. entre Dep./Produto;90260;S;-1
100;59095;FILTRO AR HONDA 17211KWGB00; ;17/07/2023;Saída por Transf. entre Dep./Produto;90260;S;-5
100;63932;FILTRO COMBUSTIVEL JD AT223493; ;17/07/2023;Saída por Transf. entre Dep./Produto;90260;S;-1
100;63933;FILTRO COMBUSTIVEL JD AT433554; ;17/07/2023;Saída por Transf. entre Dep./Produto;90260;S;-1
100;69020;FILTRO LUBRIFICANTE NH 5801415504; ;17/07/2023;Entra por Transf. entre Dep./Prod.;90230;E;3
