Produto,Descrição Produto,E/S,Depósito,Qtde Mov,Data Digitação
69343,AREIA LAVADA,E,2,5.00000,2023-07-15 08:45:00
40393,SENSOR JD AKK23982,S,2,1.00000,2023-07-15 08:45:00
06360,REGISTRO JD AT13740,E,2,1.00000,2023-07-15 08:45:00
82350,KIT ASSENTO JD AT361539,E,2,1.00000,2023-07-15 08:45:00
41250,CONTADOR JD AN305056,S,2,1.00000,2023-07-15 08:45:00
34139,VEDACAO JD H217663,E,2,1.00000,2023-07-15 08:45:00
34143,VEDACAO JD H172200,S,2,1.00000,2023-07-15 08:45:00
65754,SUPORTE JD RE263262,E,2,1.00000,2023-07-15 08:45:00
69499,CAMISETA GOLA CARECA AZUL MARINHO MACULINO ATTO MC-P,E,2,40.00000,2022-12-13 15:58:00
95635,MODULO FENDT ACW4918690,E,601,1.00000,2022-12-13 18:10:00
44824,FILTRO COMBUSTIVEL MB A9584770015,E,18,1.00000,2022-12-13 21:57:00
12132,FILTRO SECADOR JD AN204967,E,18,1.00000,2022-12-13 22:21:00
95264,ADITIVO COOLANT AMBRA EXTENDED MAT3724,E,18,40.00000,2022-12-13 19:39:00
85651,CAPA CELULAR ANTI IMPACTO SAMSUNG GALAXY A03S,E,2,1.00000,2022-12-13 07:53:00
80142,CAPA CELULAR ANTI IMPACTO SAMSUNG GALAXY A02S,E,2,1.00000,2022-12-13 07:53:00
80143,"PELICULA VIDRO CELULAR 6.5"" SAMSUNG GALAXY A02S",E,2,1.00000,2022-12-13 07:53:00
85652,PELICULA VIDRO CELULAR 3D SAMSUNG GALAXY A03S,E,2,1.00000,2022-12-13 07:53:00
95593,FONTE ILUMINADOR RING LIGHT 24V 5A BIVOLT,E,2,2.00000,2022-12-13 14:16:00
78059,ETIQUETA ADESIVA BOPP BORRACHA C/MATA COLA 170X240MM NEUTRA MEGA ROTULOS BFB1724CM,E,2,18.000.00000,2022-12-13 07:06:00
62434,PA BICO C/ CABO 120CM TRAMONTINA 77459/534,E,2,1.00000,2022-12-13 14:27:00
95908,INVERSOR VOLTAGEM POWER 3000W 12V LUCKY,E,2,1.00000,2022-12-13 07:41:00
06992,DETERGENTE NEUTRO LIQUIDO YPE 500ML,E,2,172.00000,2022-12-13 16:23:00
55256,DESINFETANTE REMMUS 2LT,E,2,206.00000,2022-12-13 16:23:00
05564,LUVA PVC CORRER IRRIGA LF 75MM TIGRE 34336067,E,2,2.00000,2022-12-13 08:10:00
67638,CONEXAO TEE 10MM BEL AIR SPEB10,E,2,8.00000,2022-12-13 08:10:00
87120,TINTA ESMALTE MARROM SINTETICO SUVINIL 3.6L,E,2,2.00000,2022-12-13 15:31:00
10367,TINTA ESMALTE SINTETICO AZUL FRANCA 3.6 LTS,E,2,3.00000,2022-12-13 15:31:00
57265,TINTA ESM BRI AMARELO 3.6LT SUVINIL 53376709,E,2,3.00000,2022-12-13 15:31:00
57452,TINTA ESM SINT BRI PRETO 3.6LT SUVINIL 53376179,E,2,3.00000,2022-12-13 15:31:00
95006,VENTILADOR PAREDE 60CM ARGE 6519 PRETO,E,2,1.00000,2022-12-13 07:04:00
40023,ADESIVO VEDA CHOQUE 150GR MAXI RUBBER 4MP021,E,2,7.00000,2022-12-13 08:10:00
37182,TELA GALVANIZADA ALAMBRADO MALHA 7X7 FIO 16 1.50M ALTURA,E,2,35.00000,2022-12-13 07:14:00
11732,CABO PP 4X1MM,E,2,15.00000,2022-12-13 13:44:00
16671,CABO FLEXIVEL PRETO 120MM,E,2,500.00000,2022-12-13 13:16:00
95902,BOTAO KOSTAL 03931102,E,2,1.00000,2022-12-13 12:42:00
08080,RELE FOTO CELULA 220V,E,2,9.00000,2022-12-13 14:27:00
02508,LAMINA ESTILETE 18MM 10UN STARRETT KS06R,E,2,8.00000,2022-12-13 08:10:00
02411,CADERNETA COMUM 70X100MM 64FLS,E,2,174.00000,2022-12-13 08:10:00
81391,"DISCO FLAP 180X22.23MM - 7""X7/8"" GR80 DEWALT DW8324-AR",E,2,6.00000,2022-12-13 08:10:00
75487,CARTAO PROXIMIDADE RFID 125KHZ INTELBRAS TH-2000,E,2,140.00000,2022-12-13 13:15:00
05491,CAMARA AR 12.4X38 TR218A TORTUGA AG2338,E,2,1.00000,2022-12-13 13:49:00
89264,CAMARA AR 10.00R20 TR-131 TORTUGA QBOM,E,2,3.00000,2022-12-13 10:40:00
24709,CAMARA AR 10.5/80-18 TR15 TORTUGA AG1718,E,2,4.00000,2022-12-13 10:40:00
05059,ROLAMENTO JD AE37204,E,2,1.00000,2022-12-13 08:38:00
06154,ROLAMENTO JD JD10020,E,2,1.00000,2022-12-13 08:38:00
35648,ROLAMENTO JD AH219987,E,2,2.00000,2022-12-13 08:38:00
06115,ROLAMENTO ESFERA FAG 6204 2RS-CO7-C3,E,2,40.00000,2022-12-13 23:06:00
95688,FUSIVEL LAMINA MEDIO  7.5A AMS 30075,E,2,10.00000,2022-12-13 08:10:00
05113,"TERMINAL OLHAL 3/16"" MARILIA IM132",E,2,20.00000,2022-12-13 09:53:00
06766,APOIO JD AH213872,E,2,1.00000,2022-12-13 08:38:00
33563,TAMPAO JD AL165074,E,2,1.00000,2022-12-13 15:47:00
82515,FORQUILHA PLANTE+ A52444,E,2,1.00000,2022-12-13 08:10:00
15873,FECHADURA JD AL202908,E,2,1.00000,2022-12-13 08:38:00
77697,APOIO JD AL153600,E,2,1.00000,2022-12-13 08:38:00
75524,DEPOSITO JD RE576834,E,2,1.00000,2022-12-13 06:54:00
45139,CANO JD AL204717,E,2,1.00000,2022-12-13 08:38:00
33566,BOCAL JD MN10247,E,2,1.00000,2022-12-13 15:47:00
95899,TOMADA JD AA59671,E,2,1.00000,2022-12-13 07:43:00
33653,CANO JD CQ51594,E,2,1.00000,2022-12-13 08:38:00
88027,BICO INJETOR JD DZ104698,E,2,1.00000,2022-12-13 15:47:00
54813,INSERTO JD L113019,E,2,2.00000,2022-12-13 08:38:00
25858,JANELA JD A79196,E,2,2.00000,2022-12-13 07:43:00
55673,PIVO TRW PS4450,E,2,2.00000,2022-12-13 13:25:00
95869,ESTRUTURA JD L156205,E,2,2.00000,2022-12-13 08:38:00
28998,APOIO STARA 7410-3037,E,2,2.00000,2022-12-13 13:49:00
84526,ADAPTADOR JD A95437,E,2,3.00000,2022-12-13 07:43:00
09367,BICO JD RE48786,E,2,4.00000,2022-12-13 08:38:00
25862,ESCOVA JD A74214,E,2,11.00000,2022-12-13 07:43:00
39786,REBITE JD M139714,E,2,43.00000,2022-12-13 08:38:00
06645,REBITE JD M64720,E,2,50.00000,2022-12-13 08:38:00
81348,ANTENA GSM TOYWAVE A240034,E,2,54.00000,2022-12-13 14:17:00
08968,BOMBA JD RE545665,E,2,1.00000,2022-12-13 08:38:00
56209,BUCHA IABV 3374,E,2,4.00000,2022-12-13 13:28:00
71826,BUCHA STARA 6424-1383,E,2,5.00000,2022-12-13 14:27:00
95922,CABO JD TA26587,E,2,1.00000,2022-12-13 12:42:00
95986,EIXO TRILHA 42301KRE900,E,2,1.00000,2022-12-13 12:42:00
52407,ENGRENAGEM JD H211285,E,2,1.00000,2022-12-13 15:47:00
02932,ENGRENAGEM JD H137215,E,2,1.00000,2022-12-13 15:47:00
58354,MANGUEIRA PLANTE+ CQ34461,E,2,4.00000,2022-12-13 07:41:00
64224,"MANGUEIRA CRISTAL 3/4"" IGGO 302020380",E,2,46.00000,2022-12-13 08:10:00
82577,"TUBO FLEXIVEL TRANSPARENTE 1.1/4"" KANAFLEX KM-ST",E,2,60.00000,2022-12-13 10:40:00
06951,PARAFUSO JD H154928,E,2,1.00000,2022-12-13 15:47:00
26501,PARAFUSO JD 19M7824,E,2,1.00000,2022-12-13 15:47:00
75856,ARRUELA STARA 6426-1532,E,2,2.00000,2022-12-13 14:27:00
72021,PARAFUSO PLANTE+ 19M8033,E,2,2.00000,2022-12-13 08:10:00
21939,PARAFUSO JD 19M7937,E,2,2.00000,2022-12-13 07:43:00
10580,PORCA SEXTAVADO 1.1/4 MA,E,2,3.00000,2022-12-13 07:37:00
75857,PORCA STARA 6426-1533,E,2,3.00000,2022-12-13 14:27:00
77661,PORCA JD L79493,E,2,4.00000,2022-12-13 08:38:00
06655,PARAFUSO JD H156580,E,2,4.00000,2022-12-13 08:38:00
30051,PORCA JD R79604,E,2,4.00000,2022-12-13 08:38:00
82463,ARRUELA PLANTE+ CQ02151,E,2,6.00000,2022-12-13 08:10:00
72368,PARAFUSO JD H205560 12X25MM,E,2,11.00000,2022-12-13 15:47:00
38453,PARAFUSO JD 19M6614,E,2,12.00000,2022-12-13 07:43:00
56521,"PARAFUSO SEXTAVADO 5/16""X2.1/2"" MA RP 8.8",E,2,15.00000,2022-12-13 08:10:00
72985,PARAFUSO JD L157372,E,2,16.00000,2022-12-13 08:38:00
24898,ARRUELA JD 24M7139,E,2,19.00000,2022-12-13 15:47:00
05914,ARRUELA LISA 12MM P5MM,E,2,40.00000,2022-12-13 08:10:00
04362,"PORCA SEXTAVADO 1/4"" MA",E,2,200.00000,2022-12-13 08:10:00
95966,PARAFUSO ROSCA SOBERBA 6X70MM,E,2,250.00000,2022-12-13 07:37:00
22415,"ARRUELA LISA 3/8""",E,2,5.000.00000,2022-12-13 08:10:00
48682,ANEL JD L78457,E,2,1.00000,2022-12-13 08:38:00
20283,ANEL GBUSCH GB39817,E,2,1.00000,2022-12-13 08:10:00
48683,ANEL JD 51M7119,E,2,1.00000,2022-12-13 08:38:00
00515,ANEL JD U10289,E,2,1.00000,2022-12-13 15:47:00
78049,ANEL JD L40283,E,2,1.00000,2022-12-13 08:38:00
39920,ANEL JD R43383,E,2,1.00000,2022-12-13 15:47:00
74437,RETENTOR 73.00 X 88.50/105.50 X 10.00/15.50 ARCA 5876,E,2,1.00000,2022-12-13 13:31:00
10013,RETENTOR JD AR103873,E,2,2.00000,2022-12-13 08:38:00
22162,VEDACAO JD HXE59223,E,2,2.00000,2022-12-13 08:38:00
36434,REPARO VEDACAO JD RE241164,E,2,2.00000,2022-12-13 08:38:00
72556,SUPORTE JD AL77485,E,2,1.00000,2022-12-13 08:38:00
83986,TAMPA PLASTICA BREMEN 660F,E,2,224.00000,2022-12-13 08:10:00
95289,TERMINAL GRAXA FF 0504 1/2  KVFLEX,E,2,1.00000,2022-12-13 13:31:00
95887,BARRA CANTONEIRA ALUMINIO 1/2 3MT,E,2,2.00000,2022-12-13 07:29:00
67238,ABRACADEIRA JD L112762,E,2,1.00000,2022-12-13 15:47:00
44189,ABRACADEIRA JD AL119409,E,2,1.00000,2022-12-13 08:38:00
25296,ABRACADEIRA JD AL177823,E,2,1.00000,2022-12-13 15:47:00
16442,"ENGATE RAPIDO HIDRAULICO MACHO 3/4"" HALTBAR 2134-EM",E,2,1.00000,2022-12-13 08:10:00
55536,ENGATE JD AA59411,E,2,1.00000,2022-12-13 07:43:00
43867,ENGATE JD RE214614,E,2,1.00000,2022-12-13 07:43:00
78519,"ESPIGAO AR MACHO 1/4"" X 1/4"" HALTBAR 14334",E,2,2.00000,2022-12-13 08:10:00
54958,INSERTO JD L171481,E,2,1.00000,2022-12-13 15:47:00
66838,INSERTO JD L150446,E,2,1.00000,2022-12-13 15:47:00
54965,INSERTO JD L113018,E,2,2.00000,2022-12-13 08:38:00
15541,CHAVETA JD 26M4226,E,2,1.00000,2022-12-13 15:47:00
75855,PINO STARA 6426-2076,E,2,3.00000,2022-12-13 14:27:00
81562,PINO JD 34H333,E,2,4.00000,2022-12-13 15:47:00
04483,RODA JD AH94450,E,2,2.00000,2022-12-13 15:47:00
47036,BRACO JD N310756,E,2,2.00000,2022-12-13 15:38:00
57165,VALVULA JACTO 407825,E,2,1.00000,2022-12-13 08:10:00
20156,CAMARA AR 750X16 TR15 TORTUGA AG1416,E,2,6.00000,2022-12-13 10:40:00
85652,PELICULA VIDRO CELULAR 3D SAMSUNG GALAXY A03S,E,2,1.00000,2022-12-13 07:53:00
70404,ETIQUETA ADESIVA BOPP 100X120MM 1500UN ALTERNATIVA PA000100001632,E,2,4.00000,2022-12-13 10:55:00
05764,"ADAPTADOR PVC ROSCAVEL SOLDAVEL 60MMX2"" TIGRE 22000608",E,2,1.00000,2022-12-13 07:25:00
35765,JOELHO PVC 90° ESGOTO 200MM TIGRE 26241510,E,2,1.00000,2022-12-13 07:25:00
33453,CURVA PVC 90° ESGOTO LONGA 200MM TIGRE 26111048,E,2,1.00000,2022-12-13 07:25:00
93137,TOMADA INDUSTRIAL SOBREPOR 3P+T+N 6H IP44 32A 380V SOPRANO,E,2,1.00000,2022-12-13 07:25:00
93138,PLUGUE INDUSTRIAL 3P+T+N 32A 380V 6H IP44 SOPRANO,E,2,1.00000,2022-12-13 07:25:00
95899,TOMADA JD AA59671,E,2,1.00000,2022-12-13 07:43:00
88027,BICO INJETOR JD DZ104698,E,2,1.00000,2022-12-13 15:47:00
52407,ENGRENAGEM JD H211285,E,2,3.00000,2022-12-13 15:47:00
55536,ENGATE JD AA59411,E,2,1.00000,2022-12-13 07:43:00
43867,ENGATE JD RE214614,E,2,1.00000,2022-12-13 07:43:00
70404,ETIQUETA ADESIVA BOPP 100X120MM 1500UN ALTERNATIVA PA000100001632,E,2,7.00000,2022-12-13 11:14:00
93137,TOMADA INDUSTRIAL SOBREPOR 3P+T+N 6H IP44 32A 380V SOPRANO,E,2,1.00000,2022-12-13 07:25:00
93138,PLUGUE INDUSTRIAL 3P+T+N 32A 380V 6H IP44 SOPRANO,E,2,1.00000,2022-12-13 07:25:00
95899,TOMADA JD AA59671,E,2,1.00000,2022-12-13 07:43:00
55536,ENGATE JD AA59411,E,2,1.00000,2022-12-13 07:43:00
43867,ENGATE JD RE214614,E,2,1.00000,2022-12-13 07:43:00
34836,FERRO CONSTRUCAO 4.2MM CA60 12MT,E,2,2.00000,2022-12-13 07:16:00
95899,TOMADA JD AA59671,E,2,1.00000,2022-12-13 07:43:00
55536,ENGATE JD AA59411,E,2,1.00000,2022-12-13 07:43:00
43867,ENGATE JD RE214614,E,2,1.00000,2022-12-13 07:43:00
95899,TOMADA JD AA59671,E,2,1.00000,2022-12-13 07:43:00
55536,ENGATE JD AA59411,E,2,1.00000,2022-12-13 07:43:00
43867,ENGATE JD RE214614,E,2,1.00000,2022-12-13 07:43:00
95899,TOMADA JD AA59671,E,2,1.00000,2022-12-13 07:43:00
55536,ENGATE JD AA59411,E,2,1.00000,2022-12-13 07:43:00
43867,ENGATE JD RE214614,E,2,1.00000,2022-12-13 07:43:00
95899,TOMADA JD AA59671,E,2,1.00000,2022-12-13 07:43:00
55536,ENGATE JD AA59411,E,2,1.00000,2022-12-13 07:43:00
74587,CONEXAO RETA 8MM ALUMINIO ROYCE RC450006,E,2,2.00000,2022-12-14 08:29:00
59301,CONEXAO RETA 12MM ROYCE RC450902,E,2,3.00000,2022-12-14 08:29:00
74588,CONEXAO RETA 10MM ALUMINIO ROYCE RC450007,E,2,3.00000,2022-12-14 08:28:00
86175,CONECTOR MACHO DEUSTSCH DT063S,E,2,1.00000,2022-12-14 10:16:00
92935,SUPORTE P/ MONITOR 2 GAVETA PRETO SOUZA 3346,E,2,2.00000,2022-12-14 06:44:00
86847,ROLAMENTO PEER 6205 2RLDC3V2,E,2,1.00000,2022-12-14 09:48:00
75387,ROLAMENTO ESFERA FAG 6206 ZZ,E,2,1.00000,2022-12-14 10:26:00
78934,ROLAMENTO JD Z33854,E,2,3.00000,2022-12-14 08:44:00
73323,ROLAMENTO ESFERA SKF 6206 2RS1 C3,E,2,5.00000,2022-12-14 10:11:00
83406,ROLAMENTO CONICO STARA 9100-3223,E,2,7.00000,2022-12-14 07:38:00
25862,ESCOVA JD A74214,E,2,1.00000,2022-12-14 09:47:00
73900,BATENTE STARA 6435-4106,E,2,1.00000,2022-12-14 09:47:00
27247,BOBINA JD AN272378,E,2,1.00000,2022-12-14 09:47:00
95714,PROLONGADOR STARA 7417-4001-19,E,2,2.00000,2022-12-14 10:40:00
68223,SEM FIM STARA 6117-4204,E,2,5.00000,2022-12-14 10:40:00
93710,SINGULADOR MILHO 768355 - PRECIONPLANTING,E,2,6.00000,2022-12-14 07:38:00
20816,BUCHA JD AN205961,E,2,4.00000,2022-12-14 09:48:00
50474,EIXO JD CQ75244,E,2,2.00000,2022-12-14 08:22:00
59078,EIXO JD KK41067,E,2,3.00000,2022-12-14 07:59:00
23239,ENGRENAGEM JD CQ49939,E,2,1.00000,2022-12-14 10:11:00
09479,PARAFUSO SEXTAVADO 12X50MM MA RI 8.8,E,2,2.00000,2022-12-14 09:48:00
81093,PORCA FENDT 3019128X1 20X1.5MM,E,2,2.00000,2022-12-14 08:29:00
01515,PARAFUSO SEXTAVADO 6X20MM MA RI 8.8,E,2,3.00000,2022-12-14 10:31:00
03363,PORCA TRAVANTE 24MM MA,E,2,7.00000,2022-12-14 07:59:00
73085,ANEL STARA 9100-7048,E,2,2.00000,2022-12-14 09:47:00
79149,RETENTOR 30.00X47.00X7.00 SW 2376BRG,E,2,11.00000,2022-12-14 07:59:00
23485,TAMPA JD CQ33480,E,2,6.00000,2022-12-14 10:11:00
75063,TAMPA STARA 6427-4118-TAM,E,2,8.00000,2022-12-14 10:16:00
81180,PINO FENDT ACW2249910,E,2,2.00000,2022-12-14 08:22:00
76974,CUBO STARA 6258-4010,E,2,1.00000,2022-12-14 10:16:00
45597,VALVULA JD RE333009,E,2,1.00000,2022-12-14 08:29:00
83618,FILTRO UREIA MB A00014210890098,E,18,4.00000,2022-12-14 14:51:00
74772,OLEO LUBRIFICANTE 15W40 AKCELA MS1121,E,18,12.00000,2022-12-14 14:33:00
95792,BATERIA 7.4V 1500MAH SATILINK WS-6933,E,2,3.00000,2022-12-14 13:39:00
55255,AMACIANTE ROUPA TRADICIONAL ACONCHEGO YPE 2LT,E,2,2.00000,2022-12-14 08:55:00
54188,LUSTRA MOVEIS LAVANDA PEROBA 500ML,E,2,14.00000,2022-12-14 08:55:00
