Id,Name,UnitOfMeasurement,AddressingId,Quantity
76549,OLEO HIDRAULICO RANDO 68 TEXACO 221659,6,11,100
73993,"FILTRO REGULADOR 3/4"" STNC TW4000-06",12,14,2
73940,"FILTRO REGULADOR 1/4"" STNC GFC2000",13,15,3
74772,OLEO LUBRIFICANTE 15W40 AKCELA MS1121,6,11,12
79083,FILTRO SECADOR HERMETICO DANFOSS 023Z5044,12,16,5
78474,ELEMENTO COMBUSTIVEL MF 1851890M91,12,17,1
06048,FILTRO SECADOR JD DQ33399,12,18,2
05901,FILTRO COMBUSTIVEL JD RE522878,12,19,21
17667,GRAXA BRANCA SPRAY 300ML ORBI 1539,12,20,14
15792,FILTRO SUCCAO CASE 87271649,12,21,1
49616,FILTRO COMBUSTIVEL JD RE545325,12,22,1
45439,OLEO LUBRIFICANTE SAE 85W140 MULTIGEAR TEXACO 721282,6,23,1
47121,FILTRO MICROVENTILADOR STARK 155023,12,24,3
55533,OLEO SOLUVEL VONDER 1LT 5129020050,0,25,3
52726,OLEO SINGER MULTIUSO 100ML 120965,12,26,4
20538,FILTRO AR JD RE24619,12,27,5
32847,FILTRO HIDRAULICO YALE 582005334,12,28,2
31271,FILTRO HIDRAULICO JD AL203061,12,29,1
32372,DESCARBONIZANTE BICO 300ML SUN CAR 80,12,30,2
36749,"FILTRO SECADOR DML 307S 7/8"" DANFOSS 023Z0071",12,31,8
72370,DISCO CANOLA 80 F 1.20MM EMBREPARTS PP-8012S,12,32,20
72366,RESPIRO JD H216169,12,33,1
72421,MANIPULO PLANTE+ CQ54996,12,34,44
72422,ROLAMENTO PLANTE+ CQ72758,12,35,2
72414,CATALISADOR EPOXI PDA 900ML ANJO 038184-86,0,36,2
72388,SUPORTE JD R234524,12,37,1
72365,CONEXAO STARA 7910-4115,12,38,1
72356,SUPORTE HYSTER 1354961,12,39,1
72357,PARAFUSO HYSTER 1581835,12,40,1
72355,PARAFUSO HYSTER 1581831,12,41,1
72353,PARAFUSO HYSTER 1581588,12,42,1
72354,TUBO HYSTER 1360538,12,40,1
72363,NIPEL STARA 1072-4132,12,43,1
72364,MANGOTE STARA 1072-4133,12,44,1
72358,PORCA HYSTER 1581566,12,40,3
72359,PARAFUSO HYSTER 1581581,12,40,2
72476,EIXO PLANTE+ CQ49892,12,45,2
72483,ALAVANCA JD AL114210,12,46,1
72484,MOLA JD L159313,12,47,1
72482,ANEL JD R192696,12,48,2
72479,PLACA STARA 7310-3645,12,49,1
72452,CONECTOR JD 57M8934,12,50,2
72351,GUIA HYSTER 1348247,12,40,1
72300,VEDACAO JD H152616,12,51,3
72321,"ABRACADEIRA 1.1/2"" X 2"" - 38 X 51MM MATRIX 0143851",12,52,41
72314,CRUZETA STAHL CZ229,12,53,4
72265,"GRAXETA GRAFITADA 1/2"" FOCKINK 1683",12,54,1
72289,ABRACADEIRA PLANTE+ DQ59310,12,55,13
72290,ABRACADEIRA PLANTE+ DQ59311,12,56,10
72284,PARAFUSO JD 37M7096,12,57,40
72343,ARRUELA HYSTER 1345190,12,41,4
72344,PORCA HYSTER 1390182,12,41,4
72342,PARAFUSO HYSTER 1581830,12,41,4
72340,EIXO HYSTER 1396406,12,58,1
72341,ARRUELA HYSTER 1581560,12,42,2
72349,ABRACADEIRA HYSTER 1481229,12,59,2
72350,PORCA HYSTER 1581567,12,39,1
72348,ABRACADEIRA HYSTER 1477996,12,41,2
72345,ESPACADOR HYSTER 1360549,12,41,2
72346,SUPORTE HYSTER 1354907,12,60,1
72339,PROTETOR HYSTER 859229,12,58,1
72324,APOIO JD H162672,12,61,3
72337,PARAFUSO JD L220217,12,62,6
72335,ANEL JD L217783,12,63,1
72619,PARAFUSO STARA 9100-1197,12,64,286
72618,MOLA STARA 6117-4124,12,65,50
72616,PORCA STARA 6424-4031-PO,12,66,8
72622,SUPORTE STARA 6435-4103,12,67,1
72621,CALOTA STARA 6123-1207,12,68,1
72620,ARRUELA STARA 9100-3773,12,69,40
72609,BUCHA STARA 6007-4431,12,70,78
72610,PINO STARA 6009-1661,12,71,38
72608,FELTRO STARA 6007-1917,12,72,116
72606,RETENTOR 30.00 X 47.00 X 10.00 ARCA 5980,12,73,18
72607,BUCHA STARA 6007-1210,12,74,64
72614,TAMPA STARA 6117-1341,12,75,68
72613,BUCHA STARA 6117-1175,12,76,33
72611,EIXO STARA 6009-1663,12,77,38
72612,BUCHA STARA 6009-1820,12,78,97
72624,CARCACA STARA 6427-4118-CC,12,79,1
72642,CABO STARA 7310-5304,12,80,3
72639,BUCHA MOTOR PARTIDA MOLDMIX 217STD,12,81,7
72638,BUCHA MOTOR PARTIDA MOLDMIX 216STD,12,82,7
72628,ARRUELA STARA 6117-4184-AR4,12,69,44
72626,ABRACADEIRA STARA 9100-6001,12,83,11
72625,CONEXAO STARA 6424-4026,12,84,37
72634,CINTO HYSTER 1603701,12,85,1
72629,ARRUELA STARA 4810-1281/1,12,86,27
72605,ROLAMENTO CONICO KOYO 30204,12,87,69
72545,TAMPA STARA 6010-1160,12,88,296
72546,DISCO STARA 6427-4130,12,89,69
72560,TUBO STARA 6117-4206,12,44,125
72543,RETENTOR 30.00 X 52.00 X 7.00 ARCA 7270,12,90,33
72486,LANTERNA SINALSUL 1062,12,91,4
72487,LANTERNA SINALSUL 1122AM,12,92,3
72541,MOLA STARA 6344-4008,12,93,35
72540,ARRUELA STARA 6117-1229,12,94,56
72575,CONDUTOR STARA 6007-4229,12,44,7
72599,SULCADOR STARA 6205-3092,13,4,10
72600,PONTEIRA STARA 6007-4122,12,95,130
72597,ABRACADEIRA STARA 9100-6004/1,12,96,13
72598,ANEL STARA 6117-4275,12,97,325
72603,ARRUELA STARA 6007-1113,12,98,66
72604,EIXO STARA 6256-1995,12,99,51
72602,PARAFUSO STARA 9100-4017,12,100,9
72596,PINO ELASTICO 8X20MM,12,101,14
72588,CONDUTOR STARA 7304-4059,12,44,56
72581,RASPADOR STARA 6427-4216,12,102,87
72579,CONDUTOR STARA 6205-4153,12,44,30
72580,RASPADOR STARA 6427-4215,12,103,118
72592,ANEL STARA 9100-0281,12,104,27
72593,TAMPA STARA 6117-4184-TP,12,105,5
72591,FELTRO STARA 6117-4184-AR2,12,69,35
72589,ANEL STARA 6117-4184-AN,12,106,12
72590,ARRUELA STARA 6117-4184-AR,12,107,31
72258,"MANGOTE 10"" FOCKINK 494",12,108,1
71837,EIXO STARA 6117-1109,12,109,7
71839,BUCHA STARA 6117-1177,12,110,2
71836,EIXO STARA 6117-1107,12,111,6
71835,RASPADOR STARA 6117-1396,12,112,141
71841,ROLAMENTO STARA 9100-4132,12,113,42
71842,ROLAMENTO ESFERA INA F110390,12,114,336
71827,PINO STARA 6426-2059,12,115,1
71826,BUCHA STARA 6424-1383,12,87,3
71833,BUCHA STARA 6256-1785,12,116,31
71834,RASPADOR STARA 6117-1395,12,117,141
71832,BUCHA STARA 6256-1786,12,118,6
71828,RETENTOR STARA 9100-3253,12,119,9
71907,ROLAMENTO MANCAL FRM Y213-40 V22,12,120,1
71939,"JUNTA PIVOT 8"" FOCKINK 2267",12,121,2
71938,"JUNTA PIVOT 10"" FOCKINK 92",12,54,2
71908,ENGATE MARCOPOLO 055560,12,122,25
71878,ANEL JD H125838,12,48,1
71810,AMORTECEDOR JD AL114803,12,123,2
71661,PINO JD RE322925,12,79,3
71653,ROLAMENTO CASE 71489230,12,124,1
71698,ROLAMENTO MANCAL FRM UC213-40,12,125,2
71701,ROTOR CASP 32010182,12,126,5
71652,ESPACADOR CASE 87496992,12,127,1
71621,PARAFUSO CASE 9845488,12,128,10
71627,EIXO STARA 6344-1614,12,129,37
71579,VALVULA HYSTER 1386188,12,130,12
71583,SOQUETE JD RE214055,12,131,1
71630,ENCOSTO STARA 6445-1704,12,132,35
71628,EIXO STARA 6344-1615,12,133,37
71629,RODA STARA 6360-3318,13,134,1
71750,RODIZIO GIRATORIO RODA 50MM PRETO FRISOKAR FP1321N05000U01,12,135,2
71744,PARAFUSO SEXTAVADO 12X60MM MA RI 8.8,12,136,13
71739,MANCAL FRM PFL208,12,137,5
71741,CORREIA LISA GATES A36,12,138,7
71787,CONEXAO HIDRAULICA AEROQUIP 4S16FHA16,12,139,1
71731,TERMINAL STARA 9100-3411,12,140,1
71732,HASTE STARA 7012-2034,12,141,1
71730,REGULAGEM STARA 7021-3030,12,142,1
72115,MOLA PLANTE+ CQ30637,12,143,40
72113,PINO PLANTE+ CQ59363,12,144,14
72114,JUNTA PLANTE+ CQ62268,12,145,21
72154,ARGONIO M³,1,146,10
72151,DISCO STARA 6007-4113,12,147,3
72125,PARAFUSO JD H168080,12,148,4
72112,MOLA PLANTE+ B16318/012,12,149,30
72110,CHAPA PLANTE+ CQ71826,12,150,10
72111,CHAPA PLANTE+ CQ29216,12,151,88
72109,CAME PLANTE+ CQ49859,12,152,4
72191,PINO ROCHESTER 1401750,12,153,3
72192,BUCHA CIAMET C439,12,154,8
72239,PLUGUE CASE 383697R1,12,155,6
72197,KIT FIXACAO BACIA SANITARIO 10MM SIGMA 1810,12,156,1
72207,PARAFUSO JD 19M9814,12,157,1
72164,RETENTOR JD DC49898,14,158,1
72160,PARAFUSO JD L171873,12,159,2
72165,ISOLADOR JD R557654,12,160,4
72166,PINO JD 34H312,12,161,4
72007,ARRUELA PLANT+ 24M7099,12,162,10
71992,DOBRADICA F CONFUORTO 4150BR,12,163,1
72015,PARAFUSO PLANTE+ 03M7090,12,164,70
72016,PARAFUSO PLANTE+ 03M7331,12,165,381
72014,SUPORTE PLANTE+ DQ55896,12,166,6
72008,BICO PLANT+ 58M5573,12,167,86
72013,SUPORTE PLANTE+ CQ31062,12,166,4
71976,ACOPLAMENTO ELASTICO GR-194 MADEFLEX 45709,12,168,1
71962,VALVULA PNEUMATICA THERMOVAL 13639,12,159,1
71960,CORREIA LISA GATES A48,12,169,8
71969,REPARO CILINDRO DSBC/G-50 FESTO 753090,15,170,3
71967,ESPELHO BEPO W902,12,171,1
71965,SUPORTE BEPO W903A,12,172,2
72037,PINO PLANTE+ 34M7031,12,173,92
72039,PINO PLANTE+ 34M7061,12,174,92
72036,SUPORTE JD N209188,12,175,12
72033,JUNTA PLANTE+ CQ54878,12,150,24
72034,ARRUELA PLANTE+ SK02101,12,176,19
72064,CORREIA LISA GATES A42,12,177,1
72040,PONTA PLANTE+ CQ57287,12,126,3
72031,DISCO PLANTE+ CQ54001,12,147,122
72022,ROLAMENTO ESFERA SKF 6010 2RS,12,178,46
72020,CONTRA PINO PLANTE+ 11M7015,12,179,73
72018,PINO PLANTE+ 34M7197,12,180,224
72019,ARRUELA PLANTE+ 24M7178,12,181,32
72027,PORCA PLANTE+ CQ07219,12,182,11
72026,ESPACADOR PLANTE+ CQ51867,12,183,102
72023,ROLAMENTO ROLETE SKF 32210,12,184,4
73344,APLICADOR PAD 120X220 PRINT MASTER 325955,12,185,7
73340,FAROL ORGUS FM154LE,12,186,1
73325,HASTE JD AL177977,12,187,2
73352,"CONDULETE ALUMINIO TIPO T 1"" C/ ROSCA S/ TAMPA TRAMONTINA 56106/003",12,188,2
73315,SAPATA BICICLETA VB CL POP 6691,18,189,36
73322,RETENTOR STARA 9100-3166,12,190,1
73354,ABRACADEIRA NYLON PRETA 300X4.8MM,12,191,1
73434,CONEXAO JD KK40170,12,192,1
73410,CAPA JD H155968,12,193,2
73372,"CONDULETE ALUMINIO TIPO T 3/4"" C/ ROSCA S/TAMPA TRAMONTINA 56106/302",12,194,27
73406,BATERIA 3.6V ION LITIO RECARREGAVEL LIR2450,12,195,6
73216,ARRUELA STARA 9100-3761,12,196,234
73194,BOTAO JD M48295,12,197,1
73255,PORCA JD 14M7278,12,198,4
73236,MANGUEIRA JD R248396,12,199,1
73162,VALVULA JD AH222255,12,200,3
73107,BUJAO NH 428156A1,12,201,1
73168,ANEL FENDT X548960666000,12,83,1
73274,SOQUETE RAINHA DAS SETE ETE7438,12,202,1
73290,ANEL JD 40M1839,12,203,95
73273,SOQUETE RAINHA DAS SETE ETE7122,12,204,4
73262,CANTONEIRA JD CQ29244,12,91,1
73260,VEDACAO JD L41164,12,205,1
73261,VEDACAO JD L41216,12,206,1
73576,PINO STARA 6427-4118-PI,12,207,21
73618,GUIA HONDA 14610KSP910,12,208,2
73575,MANIPULO STARA 6427-4118-MP,12,209,17
73573,ABRACADEIRA STARA 9100-0008,12,210,1
73574,MANGUEIRA STARA 5434-1206,12,211,1
73572,MANGOTE STARA 6117-4253,12,212,64
73570,TUBO PU AZUL 6MM FESTO 197384,1,213,68
73571,DOSADOR STARA 6256-3155,13,214,1
73647,PASADOR JD R120540,12,215,2
73648,PASADOR JD R105228,12,216,2
73646,PASADOR JD CQ26016,12,62,1
73642,TERMINAL JD 57M8060,12,217,2
73654,MANGUEIRA JD CQ26415,12,218,1
73624,AMORTECEDOR JD DZ105992,12,219,1
73623,TUBULACAO JD DZ109551,12,56,1
73638,CAMARA AR 265/75R16 TR13 QBOM LTQ1616,12,220,45
73465,CONEXAO HIDRAULICA EATON WINNER 267910808ZF,12,221,25
73466,CONEXAO HIDRAULICA EATON WINNER 242110806TZF,12,221,12
73464,CONEXAO HIDRAULICA EATON WINNER 267410808ZF,12,222,10
73462,CONEXAO HIDRAULICA EATON WINNER 267110808ZF,12,223,9
73463,CONEXAO HIDRAULICA EATON WINNER 242910606ZF,12,221,9
73475,"CONEXAO RETA MACHO 8MMX1/2"" CONECFIT MPC08-04",12,224,12
73489,LENTE AM GF GF-0030AM,12,225,1
73469,CONEXAO HIDRAULICA EATON WINNER 156110808ZF,12,139,17
73467,CONEXAO HIDRAULICA EATON WINNER 242910806TZF,12,221,46
73468,CONEXAO HIDRAULICA EATON WINNER 167110808ZF,12,223,11
73461,CONEXAO HIDRAULICA EATON WINNER 267910606ZF,12,226,3
73449,ROLAMENTO ESFERA PEER/SKF 6206 ZZ,12,227,10
73460,CONEXAO HIDRAULICA EATON WINNER 205112408TZF,12,223,9
73457,CONEXAO HIDRAULICA EATON WINNER 205912208TZF,12,222,16
73456,CONEXAO HIDRAULICA EATON WINNER 205112208TZF,12,222,24
73546,KIT ANEIS OFM-988/20 HIDRAVEDA 3ES4S6V8X,14,228,3
73511,LANTERNA GF GF-5128124VM,12,229,2
73101,ADAPTADOR HIDRAULIC0 EATON WINNER 230J08,12,80,1
